公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
AC,5S,KC,5D,AS,495,TD,7H,7S,2S,0
AD,7C,5H,2D,2C,147,QS,AS,6D,8C,1
3C,TH,2C,8H,5S,326,TC,KC,4C,JD,1
6C,7H,JH,KC,6D,183,KD,3S,5D,AS,1
KD,2H,QS,6H,7H,387,4D,2C,9S,7C,0
4D,KD,5D,AS,8C,488,TD,3D,7H,8H,1
5S,8H,9H,8D,5D,250,5H,TD,7S,AH,1
8C,2D,JC,6S,JH,125,3D,6H,7H,3S,1
4S,9H,JH,9D,JC,275,AD,7H,6S,KC,1
JS,AH,AS,3C,TC,283,KD,5S,9S,7S,1
3H,8H,5D,TC,AC,252,JS,AS,2H,4S,0
QC,6S,8S,8H,KC,243,8D,AC,QD,KH,1
9C,KH,AC,JH,AD,94,5S,8H,3D,4S,0
8H,3S,TH,6H,2H,272,7S,7C,QH,9D,0
JC,6C,AH,8H,9D,500,JD,AC,JS,7C,1
KS,7C,2H,3S,JH,300,4C,7S,TH,5D,1
QH,9H,2C,KH,TS,321,6H,JS,6C,AS,1
AD,7D,8H,QC,AH,378,9S,4D,9C,JS,0
8H,TS,KC,5H,QH,150,AD,7C,JD,9D,0
7H,9S,4C,6H,4H,276,7D,5H,QD,3C,1
TS,8H,2C,2H,9S,405,JC,4D,5H,JH,0
5S,QS,9S,9D,AD,262,9C,QH,4S,8H,1
5S,TD,KC,4S,8D,318,6S,TH,JD,9C,1
5S,3D,8S,5C,4D,11,2S,7S,KH,AC,0
JD,5C,9S,TH,6D,383,7S,AD,8D,2D,1
QH,7C,8H,6S,AS,435,4D,QC,TH,2H,1
4H,QC,9H,5D,5C,65,7S,KD,8D,QH,0
KD,2H,5S,TS,KS,248,8H,9D,KH,6C,0
AC,4S,3C,TS,KS,476,3H,KH,QD,2S,1
AC,TH,4S,8D,4C,171,5C,6S,9S,6H,0
9H,9S,JD,4H,JC,201,8S,5S,5D,5C,1
2C,6S,AH,JH,4S,124,6H,7D,9S,JC,0
9H,5C,5S,KC,9S,21,TH,4C,KH,3S,0
QH,2C,4H,AD,KS,252,4S,4C,7H,6C,1
6C,3C,5H,JC,3D,322,6D,KD,AH,8C,1
7D,4C,AD,3H,3S,236,KD,2D,TH,QC,1
6C,8D,2D,5H,4H,422,KS,9H,AD,2H,0
7C,AS,KC,4C,7D,326,2S,JC,6C,5C,0
KD,3D,7D,QS,5D,170,QH,KH,AH,8H,1
6C,9C,7C,2H,TH,240,2S,4C,3S,7D,0
AH,7D,6D,QC,9C,298,7H,JC,2D,QD,0
3D,KS,6H,5S,2S,300,QD,AC,QH,7D,1
6C,3D,7C,8S,KS,196,8D,4H,JD,QS,1
4S,8D,AS,KD,9S,270,TH,QC,3C,7H,1
4D,6C,5S,8D,QH,404,5D,3H,4H,JC,1
QH,3C,6H,QC,KH,220,AS,4S,8S,KD,0
9C,TH,JC,8H,5D,301,6H,6S,3C,8D,0
4D,JC,9S,KD,6C,261,JS,8S,QH,5D,1
QC,6H,9D,9C,QS,29,8D,2C,7D,8H,0
7C,KS,3D,4C,QS,434,7S,6S,3H,QD,0
2S,3C,JS,JH,8C,105,TD,JC,KC,AH,1
6D,TH,4C,KD,AC,128,QH,7D,9D,8D,1
QS,AC,AS,KC,KS,117,QD,KH,TD,AH,0
3D,TH,3H,3S,8C,268,KD,9S,4H,KH,0
3D,7D,3C,QD,7H,488,KD,6C,7C,6S,0
8S,4H,AD,6H,8D,258,TC,JD,KS,2H,0
TS,KD,AD,2S,9S,274,8C,JD,8H,2D,0
KS,KH,JD,9D,QH,26,2H,JS,3S,3C,1
5H,KD,TH,5C,5S,184,3S,TD,6S,8D,1
JC,6D,4S,6C,9H,68,AD,QD,KH,5S,1
2D,2H,3S,8C,5D,138,3H,QS,AH,3D,0
3S,9D,JC,KD,6D,378,8C,3C,7C,8H,1
6C,5D,4H,JS,JH,135,3H,4S,3C,9H,1
8S,4H,5H,2S,4D,465,4C,QC,7D,TH,1
4D,9C,6D,4H,5C,61,3D,QS,9D,3S,0
8S,6H,4H,7S,7D,211,9D,7C,6S,QS,1
QC,7H,AH,6D,JC,317,QS,3S,TS,8D,1
2C,9D,JD,2H,QD,32,QS,6S,3S,2D,0
3C,6C,QH,5S,3S,148,9H,KS,2H,5D,0
4H,QC,2D,6D,8C,173,2C,4S,9D,5S,1
9S,TC,TD,2S,TH,84,AS,KH,6S,4C,1
JD,6C,8S,JH,5C,115,JC,7D,2C,8D,1
7D,9D,TS,4D,JD,91,TD,4C,QC,JS,1
4C,8H,5C,TH,TS,168,7H,8S,6S,7D,0
2S,7S,9C,4C,4D,484,5S,5H,3D,KD,1
JH,7S,5H,9D,KC,232,QS,6H,3C,KD,0
6D,QS,TH,AS,8S,500,2D,9D,9C,9S,0
9H,3H,JS,JC,8C,74,JH,9C,9D,9S,1
QH,JC,8H,KS,6C,293,3S,9S,8S,2C,0
KC,QS,7H,JH,KS,257,6D,9H,4D,5H,1
6H,AC,9C,QC,4D,362,3D,2D,AS,QS,0
KD,3S,TH,6H,QS,299,2C,TD,QD,3H,0
4C,QD,6D,8C,3S,338,2D,3C,7H,6C,0
KS,5C,5D,KH,JS,61,9C,3C,QD,AH,0
8H,2C,4H,6D,6H,439,2H,7D,7S,4S,0
9H,JD,KC,5C,2D,38,3H,3C,8S,5H,0
TH,2S,5C,8H,JD,342,JH,QH,KS,KC,0
7S,3H,7D,JS,JD,409,KS,AS,3S,5S,1
QC,8D,TH,AC,QD,173,3D,KS,4S,TC,0
7D,2D,JD,6S,7H,130,KS,QS,3H,5D,1
7C,QC,JS,QD,KS,130,2H,KH,JC,TH,1
4S,AC,7S,5S,QS,183,3C,9H,6H,KS,0
3C,8C,3S,QH,QS,367,AS,AC,8H,KC,1
7H,9S,AH,QH,JS,482,8S,6S,KH,8D,0
2H,4D,8H,6H,TD,55,JH,7S,5C,7D,0
QH,TH,3C,TS,9H,242,KH,9S,8C,5D,1
8H,2S,6D,KH,JH,285,3H,8C,6H,TD,1
8D,QC,KD,6S,5S,131,KH,7C,5H,6C,0
JD,AD,6C,5H,4S,456,7S,9S,TC,8C,0
AH,8D,JH,KC,9D,262,TS,AD,5C,QD,1
6S,5S,KH,KS,5C,454,3S,3D,7S,JS,0
QC,2C,4C,5C,8C,74,QD,4H,8D,6H,1
QC,JH,7H,9D,5S,96,7S,AC,4S,AS,1
2S,TC,7S,2C,JC,86,JH,7H,KS,5H,1
KD,AS,9C,7C,KC,404,8D,5C,TC,6C,0
6C,4C,AC,6S,7D,373,9S,TD,6D,KD,0
TD,3D,6S,AS,8C,454,8D,TH,2H,5H,1
2C,8D,2H,KD,7D,213,9S,6H,TD,TC,0
5C,6S,7S,5H,JC,303,2S,4H,8C,KH,0
QC,6C,8D,5D,KH,491,JH,AH,9H,5C,0
TC,TD,2D,TH,JH,490,KS,AC,9D,AD,1
5S,6S,JD,3C,QS,213,QC,TD,9D,5C,1
7S,TH,TS,TC,8D,20,KC,QH,JC,JD,0
QC,3H,5C,8H,4S,144,6D,5D,2D,7H,1
JC,2C,AC,AH,4C,225,TS,2H,2S,TH,0
8C,AC,2H,6D,2D,343,AD,8D,3D,9D,1
AS,2H,5S,5C,9S,490,KH,TS,5H,3C,0
8C,QD,TC,QH,AH,344,QS,7S,6H,3H,1
9D,2S,2D,9S,4S,105,KD,8S,6D,8D,1
QD,9D,2H,8S,5C,379,4C,3D,9S,3C,0
JH,AD,KH,6D,QH,244,7C,QS,4C,2H,1
QC,8C,JC,KH,TH,14,JS,7H,8D,TD,0
9H,KS,QD,5D,4C,474,9S,4S,KC,7H,1
4D,9S,3S,2D,4C,315,7C,JH,9D,6H,0
QH,9C,JH,3S,8H,454,6H,JS,8D,TS,0
3C,TD,2S,7H,5C,183,KS,6C,JH,6D,1
2S,AC,4S,5C,AH,131,AS,9C,4H,9S,1
7C,8H,AC,9D,TH,490,4S,9S,AS,QD,0
6C,8C,6S,3D,TD,242,QC,5C,5H,9S,1
JD,KS,5H,AH,7H,321,2D,6H,9S,KH,0
2D,6D,JC,QD,JS,216,4S,KS,6S,TS,0
JC,3C,8D,TD,9D,449,2H,8C,JH,9S,0
6D,JS,TD,9C,7H,483,7S,AS,JD,QD,0
JS,4D,KD,TD,9C,222,AH,AD,7D,KC,1
7S,AD,2D,TH,4D,60,TS,5D,7D,7H,0
2D,KH,TH,6S,8S,467,9D,TC,AC,2C,1
QC,7S,8H,AH,4S,475,KC,5D,KH,TD,0
AC,6S,TC,9H,2H,45,5C,TD,6C,3S,1
7S,3S,2H,AH,3D,411,4S,4H,8D,8H,0
4S,JC,7C,TC,9C,132,5D,KC,9H,AD,1
KH,8C,KC,6H,5H,499,8H,AS,4C,5D,1
TS,AS,KC,9H,7H,181,3D,6S,5C,JS,0
3H,AC,5H,3C,JH,353,QD,6C,7S,AH,0
KS,2C,5S,6H,TD,300,TS,2S,5C,TH,0
KH,7D,7H,2S,2H,325,2C,8C,TS,QD,1
2S,QD,TS,2C,9H,318,2D,JC,9S,AH,1
9H,QD,QH,7C,TD,213,6C,9D,KD,9C,0
6H,4S,5C,2C,9D,494,KS,2D,6D,QC,0
QH,9H,5H,7H,3D,49,TS,9C,TD,QD,0
AS,9S,JC,KH,AD,386,5C,KC,6D,3D,1
TS,JH,4C,8C,3H,320,JS,2C,6D,3S,1
KH,7H,JC,JH,TH,237,4S,8S,5H,KS,0
8S,8D,5D,5C,TS,162,KD,JH,QC,3H,1
8C,7H,KS,AC,AD,346,9H,4S,8H,3C,0
6D,4C,8C,5C,7C,498,QC,2H,3S,4S,1
2S,2H,9C,KD,3S,147,8S,8C,7S,KH,0
JD,8S,AC,2C,6C,296,7S,5H,3S,JC,0
6D,4H,2H,7C,KD,483,2D,8H,TC,TH,0
2H,4H,5C,7D,2S,438,8H,TD,QC,2D,0
AS,JD,2H,8H,TC,410,7C,TH,9S,3S,1
6S,TH,QS,9D,AC,333,QH,5S,8S,7C,0
3S,9S,AD,KC,7C,471,6H,5C,2H,KS,0
9H,KS,5H,5S,3H,425,8H,TH,9C,9S,0
6D,7S,JH,KH,KD,473,KC,AC,4S,3H,1
7D,4S,4D,9C,3S,284,KH,8H,2S,AS,0
6D,AC,9H,5H,3C,403,TC,JD,QS,8C,0
2H,QC,8S,AD,5C,20,6D,5D,6H,4D,1
2S,9D,3D,7S,JH,115,7D,3H,9S,9C,0
6D,QC,8S,KS,6C,294,5C,7D,TH,JD,0
8D,5S,9H,AH,TC,13,AD,TD,9S,JD,1
7S,4H,3S,KC,9C,109,8H,6H,5S,3H,0
4D,KC,QS,QH,9D,402,TS,2C,7D,AS,0
QS,KC,8C,4H,9D,51,AD,7C,AH,QC,0
4C,JD,TC,8H,AS,347,7D,5D,QS,6H,0
QH,KH,3H,AH,KC,48,JD,3S,KS,8S,0
6H,7C,6D,AS,3S,419,2D,AC,2S,KS,1
JD,QC,4H,3H,AH,308,5H,2D,8D,AD,1
7H,6D,7S,JS,7C,496,8S,2H,8D,JD,0
7C,8S,QC,6S,4S,340,QD,TH,KD,2S,1
4C,7H,8S,2S,TS,212,3C,3S,9H,KC,1
5S,9D,AC,2C,QC,388,4C,6S,5D,JH,0
JH,7D,6C,7S,2H,301,KS,8S,2D,TD,0
KC,TS,4D,8C,TD,244,JC,5S,QC,9S,0
KD,2H,QH,QD,4H,203,4S,2C,5S,5C,0
KS,7D,AH,7C,TD,476,6C,8S,JS,3D,0
6S,KH,TD,6D,2C,376,2D,7H,JD,AS,1
6H,2H,8C,AH,4H,310,4C,AS,5H,8D,0
4S,3C,6D,2C,AD,105,9C,7S,6C,TD,0
KC,JD,2S,KS,TH,282,7D,5C,7C,6C,0
JD,2S,AS,QD,6S,158,KD,2H,TH,6H,0
8S,9D,2D,5H,8C,223,AD,QC,TC,6D,1
6S,KD,9S,2D,9C,188,QH,8D,5D,TH,1
8S,7C,2S,TD,2H,150,2D,8C,4D,AS,1
2H,TC,JH,7C,QD,280,2D,4C,6S,2S,0
5C,3S,KC,9C,8D,340,6S,KS,JH,4H,1
4D,8S,JH,KC,2S,488,4H,4C,AS,QC,1
5C,7S,5S,3H,JC,438,7D,2H,3D,AD,1
6C,7H,3C,TC,8S,327,AC,QH,5C,3D,0
6S,3H,4C,KD,7C,331,7D,5H,2D,2C,1
2H,4C,JS,TD,KH,488,6C,7H,TS,6S,0
JC,JH,TC,9D,3D,217,TS,KH,7D,TH,1
2D,AS,9H,5H,TH,346,6S,KH,4D,QH,1
3D,5S,7S,9C,QD,45,6H,6C,AS,KD,1
JS,AH,JC,TH,8D,434,7S,KD,JH,6H,0
4D,TS,JS,2C,3C,340,JC,AH,QH,QD,0
6H,AS,3C,JC,8S,397,5S,9C,2S,9H,0
TC,5D,TH,3C,7S,162,JH,5C,9H,KD,1
9C,TS,2H,AS,TC,469,6D,3D,7H,JC,0
7D,9C,KD,AD,2H,93,4H,5D,TC,7C,0
JS,JH,6H,JD,4C,234,KC,7S,AS,7C,0
2C,9H,TH,JH,3H,380,8S,QD,6H,9D,0
2D,3D,7C,QD,JC,459,4C,3S,QS,8C,0
5S,4C,8C,AC,KD,261,JC,TC,QS,9D,1
8C,5S,KD,3D,TS,28,KS,JS,AD,5C,1
7C,8S,QC,8H,7H,340,8D,JD,5D,6D,1
8H,7H,3H,5C,6H,335,2H,JH,3S,6D,1
6S,JC,TD,TH,8S,447,QC,AH,4S,4C,0
5S,9H,7H,JH,6H,362,QH,7C,JD,QS,1
8D,4C,AD,9H,2D,133,7H,4S,3C,6D,1
9S,JD,5D,AC,KC,403,6S,8C,6C,TS,0
KD,4S,2D,6S,KH,280,9H,3S,AC,7H,0
KC,4D,KD,9D,JD,170,4S,6S,3S,5H,1
AD,7H,3C,QS,TS,108,5S,9C,5D,8D,1
8S,6H,5D,JC,8D,23,TC,JH,9D,5H,1
KD,TH,QD,AH,8S,145,QS,6H,9S,5D,1
5S,KD,7D,8C,5C,466,3H,3D,7C,AC,0
JD,6S,8D,7S,4H,380,3D,3C,5D,2C,0
4H,4C,AC,5H,TH,238,5C,KH,2S,AH,0
9S,9H,4D,3H,3S,357,QD,QC,JC,KS,1
AH,AC,5D,QS,KD,102,TC,8D,2H,6C,1
8S,3H,6D,4S,JC,10,9C,KD,6S,TC,0
8H,6H,5C,2S,KS,217,QS,KC,2D,3D,1
7C,2S,3C,JS,6D,314,9S,TS,8S,5D,1
6D,4S,6C,5D,AH,386,3D,KD,3C,4D,0
KS,6D,5D,TC,3C,421,KC,AD,3H,7C,1
KC,9S,3D,4H,2S,416,6H,AD,3S,3C,0
AH,9D,JS,8H,KD,490,8C,3H,KC,8S,0
7C,AC,AD,TC,TS,395,3H,6S,TD,4H,0
QH,2S,KS,7S,JD,355,7H,9D,6D,JH,0
KS,3D,JD,8D,6H,97,8S,TD,QH,QC,0
AH,AC,KS,9H,6C,202,5C,JD,7D,5H,1
7S,9C,9S,KC,5H,157,3H,7C,5S,TD,1
JH,KC,3S,4S,5S,63,3C,4H,7H,9S,1
QS,9S,6D,2D,9H,181,4C,3C,7D,9D,0
AD,2S,7D,5D,JD,70,5H,QH,AH,7S,0
3H,9H,JD,7D,4D,232,AD,AC,JH,7S,0
JH,AH,TD,KS,JS,287,5S,7S,KH,7H,0
4H,7H,9C,5H,5C,244,9H,9D,7S,3C,1
9C,2C,4S,9H,TD,254,3S,AH,QS,AD,0
QD,6C,8C,KD,KC,429,AD,2H,4H,9D,1
KC,3S,7C,TS,4D,163,9H,QD,QC,4S,0
2D,KS,8S,9D,5D,231,3S,AD,5C,6D,0
5D,8H,4S,9C,JC,384,TC,AC,6D,KH,1
2D,4S,7H,JS,JH,307,5H,8D,8S,6H,0
8H,6C,KS,4D,5C,285,JH,TC,AC,KC,0
AH,5H,6S,4S,5S,465,9H,4H,9S,9C,0
TC,JS,9C,QC,8H,17,7H,JH,QS,AS,0
JD,3S,KC,AD,6D,129,3C,JS,5H,KH,1
7S,JD,6S,6D,TS,421,6H,3C,JS,JC,0
3S,6S,9S,AH,5S,414,5C,KC,TS,KS,0
7S,KS,5S,3C,AD,50,4H,6S,2D,4D,1
6S,2C,4D,8C,TC,14,QH,4H,5C,9D,1
9C,4S,TC,JH,KC,426,JC,8D,4C,5D,1
KH,AD,4D,AH,JD,492,2H,5D,7H,4H,0
7H,KH,5S,2C,7C,196,AC,9S,6D,9D,1
AD,TS,6C,9C,5C,375,2C,5D,JD,3C,1
KS,4D,4S,QS,9C,153,9S,QC,TH,9D,1
5D,4H,7H,JD,2S,259,JC,5C,2D,AD,1
TC,QD,2S,4D,9H,188,5H,5S,4C,AC,1
7C,2D,3D,6S,4D,23,TS,7S,TH,4C,1
7D,9C,TD,TS,AC,52,AD,8S,QD,QS,1
5H,AS,QH,2D,5D,244,4D,KC,3D,9H,1
3H,6H,JS,7H,3D,489,7D,KH,QC,4D,1
3S,4C,8D,4S,2S,126,6H,5H,KH,9S,1
5D,4S,5C,3S,9H,157,AD,2C,4D,7C,1
5D,3S,6H,5S,JC,360,9D,4H,TC,AD,0
KD,9D,8S,JD,6D,120,7H,7D,2D,8D,0
9S,KC,6H,AD,AH,208,AS,3H,QC,7C,1
JC,3S,AC,KD,AS,438,JD,TS,JH,6H,0
KD,8H,KC,2C,5H,10,6D,TD,3D,JC,0
6H,TS,5H,4S,8C,367,JC,5S,7S,9C,0
TD,2S,8D,2C,TH,220,7S,JH,5S,AS,0
7C,2S,QC,4D,9H,341,3D,6C,AS,KH,0
5S,4D,4C,QD,KH,327,5C,AD,JD,5H,1
7H,KC,8H,KD,9D,235,7S,5C,4C,8C,0
6H,KC,2D,7H,6S,46,JC,JH,4H,KH,0
JH,QH,KS,7C,7H,357,AH,7S,2D,5D,1
4C,7D,7C,KS,5C,361,3H,JC,AH,QH,0
3H,3D,9D,9H,AS,318,8C,8D,QC,KS,1
7S,7H,AC,3S,KD,210,6D,AS,9H,QH,1
8C,6H,4D,JS,3D,136,TC,JC,5D,QS,1
QS,AC,JH,AD,JS,163,AS,9S,JD,QH,1
2S,QH,6S,8D,4C,434,TH,4S,JS,AD,1
TC,2S,8S,QC,7C,307,AD,AH,4D,KC,1
7C,9D,3C,3S,5D,119,QS,6H,4H,4S,0
JC,5D,QC,AH,QS,127,2D,5H,8S,3C,1
AD,7D,AC,2D,2H,345,3C,7H,3S,JD,1
JD,9D,3D,9S,3C,15,5C,7C,8D,2H,0
6H,TD,AS,7C,6D,290,3H,4D,TS,9C,0
2D,4C,4S,JH,9H,73,3C,5D,TC,JD,0
5D,TH,2H,JC,5H,266,4C,7S,AH,8D,0
QC,QS,3C,4D,3D,406,KC,7H,2S,2H,1
9C,9D,7H,6D,KD,367,TS,QH,JS,AH,0
8D,6D,7S,7H,KC,325,KS,5D,QC,JH,1
5S,JS,6H,7H,KS,40,8D,QH,2C,8S,1
8H,5H,7C,5S,5C,167,7D,6C,7S,TS,0
JC,4H,3D,6C,9C,27,QC,5H,KH,7H,0
9C,2H,TD,4H,KS,117,KC,3D,3C,6C,1
JH,QH,3D,9C,KS,426,2H,JS,AD,8D,1
3H,AH,7S,AC,5H,261,5S,4H,9S,8D,1
8S,2S,7H,KD,2D,33,5S,6H,4D,QS,0
8H,QS,JC,TS,AS,153,QC,TH,TC,3C,1
5C,JD,2H,4S,7C,68,6C,6S,KC,TC,1
7C,2C,KS,JC,7D,73,AC,7H,QC,AH,1
AC,6D,QH,4S,KH,260,2H,QD,9C,6C,1
9C,KH,4S,8H,KC,254,3S,9S,AS,QS,1
2H,3C,7D,QC,KD,256,TC,3S,JH,8H,1
TD,AC,QS,QH,JD,210,7H,6S,TS,KD,0
QH,KH,7S,7D,AD,401,7C,8H,6D,QS,1
8C,9S,TC,7H,5H,373,6D,TH,7C,3D,1
4H,6C,8D,7D,QH,321,TH,9D,KS,8H,1
KH,8D,6H,7D,JS,280,KS,7H,8H,5H,1
TC,JC,2H,7H,KC,34,5H,AS,QD,5D,1
KH,TC,3D,2H,2C,443,6H,JD,6S,5H,1
AS,KH,JH,QC,KC,464,TD,AC,3C,7C,1
2D,JC,7H,9D,6D,123,TH,9C,6H,QD,1
KS,3S,TD,3H,KD,301,TS,TC,5C,5H,1
9C,7H,QD,6H,2S,475,KH,3D,3H,JD,1
QD,QH,2S,KC,8S,346,5C,2D,TD,7C,1
2S,TH,7S,4S,QH,384,6S,QD,6C,7D,1
6C,2H,5D,6H,KD,51,6S,3H,5H,9H,1
QH,TC,4H,2D,7C,357,6H,7D,4D,JC,1
8H,AS,5S,7H,JH,384,TS,7C,JS,5H,0
5H,7S,2H,4C,8D,378,8C,4S,AC,2C,1
2H,8D,7D,JD,TC,396,KC,7S,3D,6C,1
AS,AC,QS,7C,QH,139,TH,3D,6C,2C,1
TD,5C,2H,6S,7C,303,5D,TH,AC,TS,1
9D,2H,TC,JH,JC,318,7C,QH,3H,AH,0
AS,2H,7C,2D,JC,162,2C,9C,JH,7D,1
9H,JH,7C,4H,QD,180,KH,6S,7H,8D,0
KH,5C,QC,4H,8H,348,AC,5S,6H,AH,0
3S,KD,6C,TH,TC,482,4C,QC,JC,4D,1
9C,KS,9D,5D,TD,95,2H,AC,5C,3C,0
AC,2H,6H,3H,2C,182,4S,JD,TD,AD,0
JC,9C,2S,7S,5D,83,KD,QD,JS,4H,0
TD,3D,JS,5H,4C,268,9H,5S,4H,7D,1
JS,2H,KC,6S,QC,380,8S,8D,8C,4D,1
2C,JD,8C,9H,KC,93,TH,2S,5D,3C,1
QC,5H,4S,9S,2H,340,4C,8S,9D,3S,0
7S,6D,TD,2D,6S,248,6H,4D,2S,2C,0
6S,5C,8H,QH,KS,269,4C,2C,JH,6C,0
9C,2D,3C,9H,6S,200,8C,3H,8H,2C,1
3D,4S,9H,TH,4H,278,AD,JD,8C,QH,1
9H,TD,2C,3H,TC,323,5D,7S,7C,7D,0
7S,AC,8C,AS,2D,95,9S,JH,3D,QS,0
JS,4H,7D,QD,6H,129,KH,TD,AS,JH,0
KS,6S,3C,9S,AC,49,9H,TC,5D,JS,1
JH,JS,8S,7C,QS,15,QC,3C,2S,3D,1
6C,3H,9C,3S,TH,461,KS,3D,9D,6H,1
2D,4S,JD,JC,KH,28,8H,9S,JH,4C,0
JH,AS,9S,KC,9C,124,5S,7D,6C,7H,0
9S,5C,8C,JC,KH,162,QC,AH,JH,2D,0
KC,8H,3C,7D,2C,281,KS,2S,2H,5C,1
TC,QC,6D,KC,KD,308,TH,2S,AC,8H,1
8S,AS,5H,9S,4H,146,JD,KC,2D,7D,1
6H,7H,TC,2D,AH,260,3H,5H,KC,KS,1
QS,AH,8D,4S,JS,59,AD,2C,9D,8S,1
7C,5D,TH,AS,QH,450,TC,2C,AC,AD,0
JD,AS,8C,2C,KS,376,3D,3S,4H,QC,1
5C,5D,3S,QS,QH,205,KD,3H,6D,6H,0
9S,6D,6S,3D,4H,303,8S,5D,AS,8H,0
6H,8D,QH,9C,8C,274,2S,5H,QD,3S,0
TH,2C,8S,5C,2H,396,9D,KS,5H,9S,0
9H,QD,7C,4D,KS,258,TS,KC,7H,7S,0
9S,7S,4H,JC,3H,131,2D,7C,4C,2H,1
AC,5C,2H,9C,TH,333,2C,7H,7D,2D,0
6S,7D,TC,JC,KS,346,4S,TS,5S,8D,1
3H,6H,2D,KD,2C,175,9S,KH,8D,6S,1
3S,9C,5S,5D,AC,111,AD,KS,QS,TC,1
8S,9D,3D,6C,2H,310,6D,TS,7C,JC,1
TD,TC,AS,2H,QD,150,TS,AD,4C,KC,1
5S,3C,2D,TH,7S,406,5C,TS,5D,JC,1
4H,5D,3D,TD,6D,485,AH,5H,5S,4C,0
TD,6H,2D,2H,6C,485,7S,8H,JD,5S,0
5S,TS,TH,6D,5C,27,KD,AH,7C,TC,0
3H,KC,7S,6H,9C,475,TS,5S,5D,2C,1
5C,2H,9H,7C,6S,385,8H,KH,3H,8S,0
TD,3H,7D,5C,TC,473,QH,4D,5S,8D,0
KS,6H,4H,QH,5C,21,4D,3D,JH,JC,0
AS,QD,TD,KS,9H,386,QC,9S,8H,2C,1
2H,8H,8C,6D,AC,331,3D,5C,9H,JD,0
KH,JD,AC,QS,TH,199,7S,TD,7H,4D,0
QD,3S,5D,9S,4C,129,KH,3D,8D,AS,1
KC,9S,TC,2D,5C,499,5S,AH,8D,6C,1
AH,JC,8S,2H,2S,353,QH,9H,4S,KS,0
QH,JC,8D,KD,9C,155,JS,AH,AD,7H,1
KS,5D,QD,3S,9C,314,7C,7S,AD,8C,1
KC,JC,AD,TH,JH,485,AH,4D,TC,QD,0
6D,TH,KS,5D,3C,163,3H,2C,AD,8S,1
JD,JH,5D,4S,5H,408,QH,9S,6D,KD,0
2C,8C,2H,9D,5H,448,7S,TS,7D,3H,1
KC,3H,9C,2H,2C,380,QS,JC,9D,4C,0
6S,7S,AD,9H,8H,199,5C,3D,2H,5S,0
6D,2C,6C,KS,AH,433,4D,7C,JH,6H,0
8S,9H,2S,AD,QD,315,TC,2H,8H,TS,0
3S,KD,6S,2C,KC,327,9H,7D,QS,TC,0
KC,6S,4C,JD,AH,14,QD,9C,7C,2S,1
5C,2D,QD,AD,7D,62,7H,4H,4C,AC,0
KH,TC,AC,5S,4C,236,AS,9H,QS,7S,1
AC,5H,5C,6D,JC,341,QS,9H,4C,7D,1
6C,3H,AS,9D,4C,32,TH,9S,JC,3S,1
5H,6S,QH,5D,8H,201,AD,6H,4D,QD,0
TS,9C,9H,QH,KD,431,7C,7S,4C,2S,1
9D,TH,QC,4S,JS,208,4C,AD,6D,JC,0
9H,AS,3H,5D,4C,111,TD,TC,5C,4S,0
9H,8H,9S,QS,8D,83,3C,AD,QH,JH,0
8H,JD,QD,TS,QH,455,4C,TC,9S,4D,0
5D,7S,5H,9C,7C,499,QC,AS,KD,8D,1
9D,KH,TS,5H,4C,355,8S,4H,JH,9H,0
KD,7D,JD,TS,4H,56,TC,AD,QS,3C,1
7H,7D,AD,5H,AS,396,KD,8D,3C,3D,1
TS,JH,QC,3C,4C,45,2C,7C,5D,AS,1
4D,3D,5S,AS,KH,60,4C,4S,2D,5D,0
2C,KH,3S,QH,AD,465,5H,2H,4D,3H,0
8H,7D,2C,9D,8C,311,TC,JC,KH,6S,1
6S,7S,KD,3S,3C,146,4H,AC,JD,3H,0
AS,4C,9H,8S,TC,169,2C,7C,KH,6S,0
8H,QH,3H,8S,2S,440,3D,TS,6D,5C,1
KD,2H,7S,6H,JS,94,QH,5H,KH,2S,0
9D,QC,QH,6D,JH,149,9H,JD,4C,2H,1
2H,9D,AC,2S,AH,221,QC,5S,6S,7H,1
KD,JH,7D,QC,9D,269,4S,5H,4H,QD,0
3D,TS,5S,9D,9H,56,TH,6C,JD,QH,1
2H,QC,8H,3S,2C,495,7D,6S,AC,8D,0
JC,KS,3S,8H,3D,105,6H,5H,QH,AD,0
TD,2S,KS,9C,3C,235,2D,AC,9H,KH,0
AD,9S,TH,8H,KD,262,3H,TC,9C,9H,0
JH,3H,2H,AC,QH,48,8S,9H,QD,8C,1
5H,QS,AH,KS,2C,498,7S,AC,QC,3C,1
QC,7S,3D,5C,7D,30,JS,JD,9C,KH,1
2H,KD,KC,8S,TH,433,2D,TC,7C,KS,0
6C,KH,JC,4C,3S,310,7C,TH,AC,2D,0
KS,6D,TS,TH,3C,75,JD,7D,3D,7S,0
6D,5H,JS,3C,TC,249,KD,7D,5S,QS,0
2D,QH,5H,3C,JH,294,QS,2C,6D,KS,1
TS,JC,KC,KD,AS,450,3C,QH,5H,2H,1
QS,4C,3D,9H,TS,298,8H,KD,3C,6S,0
TH,8H,6H,TD,KC,92,AS,3S,5C,4D,1
5H,4D,KS,3C,QC,401,2S,5C,KH,TC,0
